dataset,file,V,E,x,peak_bytes,peak_h,adj_peak_bytes,adj_peak_h,arenas_at_adj_peak,stacks_at_adj_peak,adj_snapshot
graph_1_10,0_graph_1_10.lz4_20251002T161952Z.cg.massif.out,1063,336,1399,2271880,2.17 MiB,2271880,2.17 MiB,0,0,
graph_1_5,0_graph_1_5.lz4_20251002T161922Z.cg.massif.out,512,4096,4608,2271880,2.17 MiB,2271880,2.17 MiB,0,0,
graph_1_5,0_graph_1_5.lz4_20251002T220410Z.cg.massif.out,512,4096,4608,178475008,170.21 MiB,10530816,10.04 MiB,0,0,1
graph_3_10,0_graph_3_10.lz4_20251002T164248Z.cg.massif.out,138015,749588,887603,2271880,2.17 MiB,2271880,2.17 MiB,0,0,
graph_4_10,0_graph_4_10.lz4_20251002T162239Z.cg.massif.out,474615,3600020,4074635,2271880,2.17 MiB,2271880,2.17 MiB,0,0,
graph_8_15,0_graph_8_15.lz4_20251002T185034Z.cg.massif.out,567890,23456789,24024679,2271880,2.17 MiB,2271880,2.17 MiB,0,0,
graph_8_15,0_graph_8_15.lz4_20251002T220225Z.cg.massif.out,567890,23456789,24024679,2271880,2.17 MiB,2271880,2.17 MiB,0,0,
graph_8_15,0_graph_8_15.lz4_20251002T220231Z.cg.massif.out,567890,23456789,24024679,2118578176,1.97 GiB,2118578176,1.97 GiB,0,0,5
graph_8_15,0_graph_8_15.mtx_20251002T185013Z.cg.massif.out,567890,23456789,24024679,20536,20.05 KiB,20536,20.05 KiB,0,0,
graph_8_15,0_graph_8_15.mtx_20251002T185022Z.cg.massif.out,567890,23456789,24024679,20536,20.05 KiB,20536,20.05 KiB,0,0,
graph_9_10,0_graph_9_10.lz4_20251002T163554Z.cg.massif.out,524796,4202434,4727230,2271880,2.17 MiB,2271880,2.17 MiB,0,0,
synth_dna_k10_edges8_4M,0_synth_dna_k10_edges8_4M.mtx_20251002T184159Z.cg.massif.out,1048576,8388604,9437180,972240,949.45 KiB,972240,949.45 KiB,0,0,
synth_dna_k11_edges33_5M,0_synth_dna_k11_edges33_5M.mtx_20251002T181814Z.cg.massif.out,4194304,33554428,37748732,972240,949.45 KiB,972240,949.45 KiB,0,0,
synth_gen_dbg_dna_k7_edges130k,0_synth_gen_dbg_dna_k7_edges130k.mtx_20251002T181333Z.cg.massif.out,16384,131068,147452,972288,949.50 KiB,972288,949.50 KiB,0,0,
synth_gen_dbg_protein20_k2_edges16k,0_synth_gen_dbg_protein20_k2_edges16k.mtx_20251002T181447Z.cg.massif.out,400,15980,16380,972288,949.50 KiB,972288,949.50 KiB,0,0,
